#Table1
objid,ra,dec,magnitude,redshift
1237667444586053720,196.284705593017,28.2343725413454,22.58551,0.5853243
1237667323260830515,194.906881646991,27.332098262927,21.75322,0.4725894
1237667912744632525,194.867525777256,25.692049718175,19.84105,0.3044466
1237667322187350696,195.47178924157,26.3514219908357,21.93289,0.5172604
1237667442437324818,192.984317962143,26.7864571316705,17.58324,0.08138019
1237667442438307990,195.526025782696,26.4750151674127,22.32919,0.5163574
1237667448344609600,195.534100140099,25.3889837414184,21.8424,0.5079811
1237665440441040958,192.207282903903,28.6142048321452,18.57152,0.1947631
1237667443510739670,192.228330912685,27.5858825311453,21.20961,0.399447
1237667446733406349,193.926074460805,24.1478613098697,18.14418,0.1306646
1237667910596821087,193.935620185682,24.0245771189418,18.37664,0.1316028
1237667254019228731,193.941717525541,29.5882783487726,22.68478,0.6269177
1237667321648840830,191.293876399162,26.2077771252221,18.39412,0.188203
1237667912207433945,194.018210459078,25.2654118836423,19.44051,0.2787413
1237667444048331058,194.050374452647,28.0184082575151,17.8691,0.1114794
1237667322723696826,194.057434326529,26.9252542089848,17.63663,0.136266
1237667323797897365,195.451200492897,27.7284454146125,18.13913,0.01828631
1237667448881741988,196.109076521056,25.676842444013,19.72556,0.3114762
1237667912744371276,194.274347001063,25.620702368659,22.5763,0.5135778
1237667447270408443,194.281789191318,24.623209135293,24.01433,0.6320983
1237667447269622323,192.280221607299,24.6198698997546,21.37289,0.5033296
1237667253481701570,192.282759624468,29.2187390434959,20.73943,0.3637847
1237667443510804835,192.319806928426,27.6470102347114,21.38312,0.3372715
1237667447270671246,194.952692530779,24.6682001253395,23.04833,0.5142906
1237667447270671053,194.955725545046,24.5547523550754,21.62796,0.5142659
1237667444048658822,194.958769453481,27.9248355782915,16.69916,0.03279741
1237667446733865186,194.975998511452,24.2019950728681,20.21424,0.3257439
1237667912207827120,194.976842551329,25.1879690072026,19.19387,2.368103E-05
1237667324334571861,194.990049149968,28.0650983650021,17.27383,0.01948424
1237667443511853122,195.01688258829,27.5126877025757,17.88292,0.1272077
1237667444048724058,195.023672448191,27.9264637253773,18.30723,0.02653266
1237667444586185628,196.691739203015,28.1381236734354,21.97536,0.5426678
1237667441901962035,196.736792545647,26.0023025967011,22.8973,0.5911496
1237667323259191500,190.692886905543,27.5655522508942,18.40012,0.1968054
1237667322185515426,190.694548649731,26.6611445687642,22.62129,0.4962963
1237665440442024230,194.6753970438,28.4664500648744,21.73131,0.5270995
1237667911133954939,194.708550566419,24.3748793003705,22.4358,0.5144807
1237667444048592948,194.733084612909,27.8333723952429,14.83922,0.02510278
1237667252944503121,191.419880121874,28.8571789033081,21.16855,0.3620576
1237667322187023001,194.597421568143,26.3552501205719,21.88089,0.4195978
1237667442437980617,194.601448019969,26.6621080604571,21.71835,0.5092455
1237667443511722195,194.660041733041,27.5441002461781,16.0195,0.01991322
1237665427553124486,195.354480293973,28.6772253598032,14.98787,0.02915233
