#Table1
ra,dec,l,b,u,g,r,i,z,redshift
7.68336332359519,-9.91548591914917,106.117695362119,-72.1079675428195,18.7928,17.74835,17.37313,17.24533,17.31859,0.01729952
11.2085055436383,-9.84267863535247,117.471181140284,-72.6443350536192,17.75523,16.77588,16.36574,16.19155,16.10322,0.01916904
30.2025710481733,-9.0025734258746,168.303354252375,-65.5624986921336,15.01343,13.17422,12.2624,11.83763,11.53224,0.0158319
33.5370557235185,-8.35876673344896,172.974804824077,-62.8856458233777,18.13027,17.11584,16.73417,16.58183,16.43828,0.01579793
347.962377555678,14.6591334473924,89.8568448923183,-41.7286038645783,16.9515,15.72994,15.18444,14.92667,14.78466,0.01703694
7.72403025538932,-9.20786220851573,106.820238426036,-71.4341274302353,16.47501,14.8376,14.14095,13.77584,13.53506,0.01987155
118.86887544746,39.4202017437808,180.710592544504,28.631084036681,17.86761,16.91533,16.53595,16.3397,16.1743,0.01984765
25.7013398597142,13.1557953472735,141.739599137482,-47.8312489784838,15.06996,13.99949,13.54432,13.41957,13.40331,0.00271248
158.854640199702,3.29445206498205,243.229680000335,49.7095453825275,17.74402,16.61582,16.10155,15.84537,15.67502,0.01888108
140.314367873939,3.15112791191167,228.977084418686,34.4357282509834,16.30242,15.11527,14.59711,14.31887,14.09748,0.01174206
156.67419478138,3.86192854807255,240.478487728023,48.3656733344472,15.14031,13.58178,13.16507,13.15199,12.71115,0.007136875
184.574659157976,4.40218182236967,282.300089822229,65.9375133706175,18.48406,17.45628,16.99379,16.76847,16.72159,0.006663417
184.585680049607,4.85378969420196,281.971736143572,66.3693102729832,18.38981,16.87764,16.25399,15.94884,15.78462,0.006911877
138.178753542961,3.66115719957293,227.145626674337,32.860668700676,18.57418,17.50493,17.10966,16.91189,16.79001,0.01257665
184.528351341157,5.68451662733593,281.149470064713,67.1361614891059,16.61308,15.03529,14.29302,13.93219,13.72694,0.008486419
184.533717238898,6.13954516270992,280.766912292317,67.5667183046448,15.69539,14.37199,13.67368,13.34169,13.07339,0.01846291
137.634053865361,50.4332950779999,168.085469518688,42.441977394571,15.52449,13.59342,12.66757,12.14918,11.77888,0.01606865
190.107998318808,4.05014630263322,295.958004094947,66.7726750587236,18.53695,17.16163,16.50277,16.20276,16.0613,0.002425308
220.452920330794,3.08979915670052,355.380722166718,54.3103921384723,17.26796,16.09406,15.61958,15.40233,15.56078,0.005353517
189.451612549918,5.36852622718903,293.842082348222,67.9992931107864,14.14548,12.46782,11.69143,11.30489,11.12756,0.00345339
188.834311455006,6.11509158619255,291.883802632,68.6406949181716,15.69444,14.00331,13.23342,12.8654,12.61701,0.00791948
219.935253726036,5.35333174774192,357.603585026379,56.2568433516297,17.61886,16.70882,16.29883,16.10942,16.01041,0.00587251
138.201415342914,48.9048100358994,170.084439574857,43.0028726611366,18.55944,17.68991,17.39376,17.28949,17.22018,0.002209429
208.017101270536,3.36909249019907,336.926675159875,62.1701452149336,17.33969,16.16786,15.74575,15.56426,15.54044,0.0144532
168.480027206354,4.10522689887518,253.343793281788,57.2662291398843,16.88942,16.06357,15.76932,15.6795,15.63974,0.005341415
184.548364875511,4.64452908032785,282.049959130458,66.1591166334326,17.66785,16.62018,16.16342,15.98241,15.805,0.00701982
